StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly,Salary Package,Cluster
1,Male,Ahmedabad,Tier2,ECE,Networking,No,No,6.02,6.54,6.52,6.0,6.47,5.91,6.49,5.5,6.29,73.3,1,2,,2,0,66.7,2.2,49.4,47.8,0,Low,0,0,0.0,3
2,Female,Mumbai,Tier2,ECE,DataScience,Yes,Yes,5.84,5.12,5.34,5.18,5.03,4.93,5.4,5.13,5.23,54.5,0,1,0.0,1,0,48.2,2.4,26.7,25.8,0,Low,0,0,0.0,1
3,Male,Kolkata,Tier2,IT,DataScience,Yes,No,4.91,5.29,5.49,5.73,5.33,5.88,5.82,5.67,5.52,77.6,1,3,1.0,1,0,73.8,2.8,67.7,41.5,0,Low,1,0,3.89,1
4,Male,Jaipur,Tier1,CS,AI,No,No,7.67,8.03,8.08,7.64,6.86,7.1,7.56,7.39,7.51,68.8,1,2,1.0,2,0,69.8,2.7,66.9,48.0,0,Mid,1,0,8.37,3
5,Male,Pune,Tier2,IT,DataScience,Yes,No,8.14,8.97,8.36,8.55,8.55,8.38,9.1,8.86,8.65,95.8,2,3,,4,1,73.1,2.1,71.7,61.7,1,High,1,0,18.99,0
6,Male,Ahmedabad,Tier2,EE,Networking,No,No,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.9,2,5,2.0,4,1,81.5,3.9,,75.3,0,High,1,0,18.17,0
7,Male,Hyderabad,Tier2,Mechanical,Networking,Yes,No,8.7,9.55,9.72,9.86,8.85,9.07,9.71,9.7,9.35,87.1,2,2,3.0,3,2,76.5,4.6,83.0,61.5,1,High,1,0,25.52,0
8,Male,Delhi,Tier2,Mechanical,Embedded,Yes,No,5.87,5.64,5.48,5.78,5.89,6.0,5.12,5.19,5.51,67.9,0,1,1.0,0,0,,2.0,35.2,27.8,0,Low,0,0,0.0,1
9,Male,Pune,Tier1,CS,AI,No,Yes,6.76,5.84,6.05,5.97,6.36,6.25,5.88,5.99,6.2,65.5,0,2,1.0,1,1,52.3,3.7,63.8,56.9,1,Low,1,0,5.51,3
10,Female,Hyderabad,Tier2,CS,DataScience,No,No,8.26,8.29,8.23,8.61,8.5,8.37,8.59,8.16,8.41,75.5,1,2,,1,0,59.0,2.7,74.3,42.4,1,High,1,0,18.51,3
11,Male,Chennai,Tier1,EE,Embedded,Yes,No,6.95,7.55,7.26,7.38,7.5,7.23,7.72,7.88,7.55,93.0,1,4,3.0,4,2,82.2,3.6,86.8,65.1,0,Mid,1,0,8.06,2
12,Female,Pune,Tier3,Mechanical,AI,Yes,No,6.01,5.71,5.46,5.81,5.49,5.2,5.73,5.44,5.67,54.8,0,1,,1,0,43.6,2.4,32.8,37.6,1,Low,0,0,0.0,1
13,Male,Pune,Tier2,IT,Embedded,No,Yes,5.42,4.86,5.01,5.96,5.0,5.59,5.18,4.94,5.32,67.2,0,1,0.0,0,0,44.5,1.9,33.0,37.4,0,Low,0,0,0.0,1
14,Male,Delhi,Tier1,CS,AI,No,No,10.0,10.0,10.0,10.0,10.0,10.0,9.74,10.0,9.92,78.6,1,4,2.0,3,1,,,87.9,86.8,1,High,1,0,18.11,0
15,Female,Jaipur,Tier2,EE,DataScience,Yes,No,6.77,6.81,6.38,6.5,6.75,6.61,7.35,7.52,6.69,86.8,1,4,3.0,4,1,95.5,3.4,65.1,73.0,1,Mid,1,0,8.79,2
16,Female,Jaipur,Tier1,IT,Networking,Yes,No,9.12,9.59,8.77,8.31,9.21,9.01,9.35,9.16,9.05,100.0,2,2,3.0,2,1,81.1,4.6,85.2,60.3,1,High,1,0,25.03,0
17,Male,Ahmedabad,Tier2,Mechanical,AI,Yes,No,7.37,7.15,7.41,7.4,7.86,7.8,7.58,7.8,7.49,88.1,1,4,2.0,3,1,84.3,3.7,62.4,76.9,1,Mid,1,0,8.32,2
18,Female,Pune,Tier2,EE,Networking,Yes,No,5.45,5.01,4.83,4.77,4.79,5.78,4.92,4.73,5.03,75.9,0,1,0.0,2,1,60.9,2.4,,47.9,0,Low,0,0,0.0,1
19,Male,Bangalore,Tier2,Mechanical,Embedded,No,No,6.97,6.53,6.97,6.34,7.09,7.12,6.51,6.98,6.84,66.4,0,2,1.0,1,0,,1.3,57.9,56.6,0,Mid,0,0,0.0,3
20,Female,Mumbai,Tier1,CS,Embedded,Yes,No,6.29,6.68,6.73,6.47,6.8,7.05,7.0,6.95,6.84,94.7,1,2,2.0,3,1,83.5,3.9,63.6,71.7,1,Mid,1,0,8.13,2
21,Female,Bangalore,Tier2,Civil,Embedded,Yes,No,6.91,6.7,7.44,6.94,7.42,6.76,7.35,7.14,7.1,75.3,1,1,1.0,2,1,75.2,2.4,57.4,44.6,0,Mid,1,0,8.03,3
22,Female,Bangalore,Tier2,ECE,AI,Yes,No,7.36,6.61,7.47,7.03,7.58,7.07,6.93,7.57,7.17,89.2,2,2,2.0,4,1,91.5,4.7,80.4,57.6,1,Mid,1,0,8.32,2
23,Male,Pune,Tier1,ECE,AI,Yes,Yes,8.59,8.36,8.61,8.63,8.86,8.46,9.2,8.42,8.66,86.6,2,3,3.0,4,1,76.8,4.5,83.3,68.9,1,High,1,0,22.2,0
24,Female,Mumbai,Tier2,ECE,Networking,No,No,7.35,7.76,7.06,7.58,7.19,7.33,7.68,7.69,7.34,71.1,1,2,2.0,2,0,79.1,3.1,50.1,53.9,1,Mid,1,0,12.87,3
25,Male,Chennai,Tier2,ECE,AI,No,No,9.36,9.12,9.39,9.92,9.24,9.77,9.96,9.84,9.6,61.2,0,2,1.0,2,0,70.9,2.9,52.1,57.2,0,High,1,0,18.09,0
26,Female,Ahmedabad,Tier1,Mechanical,Networking,No,No,4.75,4.19,4.58,5.47,5.06,5.14,5.08,5.21,4.99,79.4,1,2,3.0,3,1,83.2,3.2,60.5,59.3,0,Low,0,0,0.0,3
27,Female,Pune,Tier1,CS,Networking,No,No,9.15,9.34,8.92,8.92,9.21,9.52,9.29,9.04,9.42,97.0,2,3,3.0,4,2,80.4,3.6,86.9,78.1,1,High,1,0,25.59,0
28,Female,Ahmedabad,Tier2,EE,Embedded,No,Yes,6.08,6.06,5.93,6.16,6.22,6.39,6.6,6.07,6.25,70.4,1,2,3.0,2,0,63.3,2.8,57.7,59.3,0,Low,0,0,0.0,3
29,Female,Bangalore,Tier2,Mechanical,Embedded,No,No,9.68,9.01,10.0,9.75,9.0,9.07,9.71,9.47,9.5,80.1,1,2,2.0,1,0,83.2,2.4,53.7,53.8,0,High,1,0,18.13,0
30,Female,Pune,Tier2,Civil,Networking,Yes,No,9.94,9.85,9.28,10.0,10.0,10.0,10.0,10.0,9.86,92.3,3,1,2.0,3,2,,4.8,60.3,89.3,1,High,1,0,25.15,0
31,Male,Chennai,Tier3,CS,AI,Yes,No,6.37,5.62,6.08,5.84,5.57,6.25,5.7,6.22,6.02,71.0,1,2,1.0,1,1,70.7,3.0,61.3,60.8,1,Low,1,0,5.99,3
32,Female,Kolkata,Tier2,ECE,Networking,No,No,9.71,9.63,10.0,10.0,10.0,10.0,10.0,10.0,9.96,89.5,1,3,4.0,4,2,84.2,3.3,78.8,59.8,1,High,1,0,25.46,0
33,Female,Hyderabad,Tier2,EE,AI,No,No,9.26,9.23,9.22,8.61,8.93,9.15,8.77,9.53,9.13,91.4,2,4,2.0,4,2,85.1,3.2,91.2,76.9,0,High,1,0,18.17,0
34,Male,Kochi,Tier3,Civil,AI,Yes,No,4.52,4.06,4.31,4.16,4.05,4.31,4.0,4.01,4.08,57.5,0,0,0.0,1,1,,2.1,27.4,34.6,1,Low,0,0,0.0,1
35,Female,Pune,Tier3,IT,AI,Yes,No,6.57,6.54,6.51,6.43,6.21,7.41,5.94,6.28,6.4,63.3,1,0,1.0,0,0,43.9,1.9,24.5,34.8,0,Low,0,0,0.0,1
36,Male,Pune,Tier2,ECE,Embedded,Yes,No,4.44,4.37,4.8,4.06,4.16,4.49,4.12,4.57,4.39,65.8,0,1,1.0,1,0,42.8,1.7,26.9,32.2,0,Low,0,0,0.0,1
37,Male,Pune,Tier1,CS,Networking,No,No,8.26,8.25,7.7,8.16,7.75,7.73,8.31,8.34,7.89,98.3,2,3,3.0,2,2,77.5,3.7,,87.6,1,Mid,1,0,8.23,2
38,Female,Chennai,Tier1,IT,AI,No,No,9.67,9.8,9.89,9.81,9.78,10.0,9.86,10.0,9.98,88.8,3,3,,4,2,78.7,4.1,71.1,72.0,1,High,1,0,25.05,0
39,Female,Ahmedabad,Tier1,IT,AI,No,Yes,7.51,7.91,7.35,7.81,7.71,7.66,7.51,7.55,7.66,73.2,1,2,2.0,1,0,61.0,3.2,52.3,48.3,1,Mid,1,0,8.99,3
40,Male,Kochi,Tier2,CS,Embedded,No,No,6.09,5.76,6.04,5.62,6.17,6.13,6.08,6.17,5.99,79.6,1,1,2.0,2,1,71.6,3.4,44.7,,1,Low,0,0,0.0,3
41,Female,Kolkata,Tier2,CS,Embedded,No,No,7.31,7.44,7.94,8.34,7.52,7.64,7.98,8.06,7.91,89.8,2,3,3.0,4,1,97.7,3.6,61.8,72.2,0,Mid,1,0,12.37,2
42,Male,Kochi,Tier3,ECE,Networking,No,No,5.37,5.13,5.23,5.41,5.11,5.58,5.54,5.66,5.29,76.8,1,2,1.0,3,1,57.2,2.5,50.4,55.0,0,Low,1,0,3.21,1
43,Female,Bangalore,Tier1,CS,AI,Yes,No,6.09,6.58,7.28,6.34,6.61,6.38,6.48,6.54,6.48,95.4,2,4,2.0,4,1,94.5,3.9,86.1,89.7,0,Low,1,0,3.52,2
44,Male,Ahmedabad,Tier2,Mechanical,Embedded,No,Yes,6.41,7.13,7.35,6.94,6.92,6.48,6.89,6.6,6.84,69.9,0,0,0.0,0,0,48.5,1.0,23.8,31.8,0,Mid,0,0,0.0,1
45,Male,Kolkata,Tier2,ECE,Embedded,No,No,10.0,9.57,10.0,9.84,9.69,10.0,10.0,9.55,9.79,90.3,2,4,3.0,3,2,67.0,3.5,93.2,58.2,1,High,1,0,25.34,0
46,Female,Kochi,Tier3,Mechanical,Networking,Yes,No,5.88,6.14,6.27,6.51,6.3,5.17,6.04,6.2,6.05,74.5,1,2,1.0,2,0,61.9,3.4,70.9,48.7,1,Low,1,0,4.25,3
47,Female,Kochi,Tier2,EE,DataScience,Yes,No,10.0,10.0,10.0,10.0,9.98,10.0,10.0,10.0,10.0,75.9,1,3,4.0,3,2,89.6,4.6,66.4,,0,High,1,0,18.74,0
48,Male,Kolkata,Tier2,ECE,Networking,Yes,No,9.89,9.64,9.19,8.81,9.35,8.99,9.45,8.96,8.98,77.5,1,1,1.0,2,0,76.1,4.0,57.8,,1,High,1,0,18.58,0
49,Female,Pune,Tier2,Mechanical,Networking,Yes,No,5.49,5.57,5.8,5.59,5.8,5.62,5.59,5.76,5.6,70.8,1,1,2.0,2,1,59.8,3.6,49.6,49.2,0,Low,1,0,3.23,1
50,Female,Hyderabad,Tier1,CS,AI,Yes,No,7.0,7.51,7.77,7.72,7.82,7.34,7.8,8.56,7.73,68.4,2,2,2.0,2,1,,4.0,86.7,76.4,1,Mid,1,0,8.46,2
51,Male,Ahmedabad,Tier3,CS,Networking,No,No,7.22,7.01,7.43,6.64,6.1,6.6,6.85,6.21,6.65,54.1,0,0,1.0,0,0,,2.3,18.5,31.7,1,Mid,0,0,0.0,1
52,Male,Hyderabad,Tier2,EE,DataScience,Yes,No,6.39,6.64,7.36,6.58,6.19,6.6,6.61,6.84,6.63,73.1,1,3,2.0,1,1,73.1,3.6,59.4,65.4,1,Mid,1,0,12.03,3
53,Female,Ahmedabad,Tier3,CS,Embedded,Yes,Yes,4.35,4.26,4.43,4.57,4.33,4.03,4.45,4.36,4.4,63.0,1,0,0.0,1,0,45.1,1.1,30.0,31.5,0,Low,0,0,0.0,1
54,Female,Mumbai,Tier3,IT,Embedded,Yes,No,5.73,5.79,5.57,6.01,5.64,5.87,5.67,5.51,5.69,61.8,0,1,1.0,0,0,,1.8,24.7,38.6,0,Low,0,0,0.0,1
55,Female,Mumbai,Tier1,Civil,Embedded,No,No,6.77,6.72,6.6,6.54,7.13,6.79,6.5,7.0,6.81,64.9,0,0,1.0,2,0,72.9,3.1,62.4,55.3,0,Mid,0,0,0.0,3
56,Male,Hyderabad,Tier3,ECE,Networking,No,No,6.34,6.97,6.91,6.54,6.64,6.46,6.66,6.72,6.66,61.7,1,1,0.0,0,1,47.4,,27.7,33.9,0,Mid,0,0,0.0,1
57,Female,Delhi,Tier1,Mechanical,Embedded,No,No,10.0,10.0,10.0,9.81,10.0,10.0,9.96,10.0,10.0,98.0,1,3,2.0,3,2,78.7,4.6,86.6,71.9,1,High,1,0,25.61,0
58,Female,Chennai,Tier1,CS,DataScience,Yes,No,9.35,9.55,9.52,9.78,9.6,9.78,9.64,9.99,9.66,99.9,2,4,2.0,3,1,87.8,3.7,65.0,70.1,0,High,1,0,18.61,0
59,Male,Mumbai,Tier2,Mechanical,AI,No,No,9.28,8.98,9.13,9.06,9.34,9.65,9.45,8.76,9.27,91.3,1,4,2.0,4,1,90.5,4.3,68.5,,0,High,1,0,18.68,0
60,Male,Hyderabad,Tier2,CS,AI,Yes,No,8.03,7.42,7.52,8.21,8.31,8.25,7.77,8.02,8.01,97.9,2,4,2.0,5,2,,,78.6,73.2,1,High,1,0,18.97,2
61,Male,Delhi,Tier2,CS,DataScience,Yes,No,8.19,7.95,7.85,7.62,8.2,8.44,7.63,8.07,8.0,68.6,0,3,2.0,2,0,60.8,4.0,52.6,41.2,0,Mid,1,0,8.95,3
62,Male,Chennai,Tier1,Mechanical,AI,Yes,No,9.69,10.0,10.0,9.77,10.0,10.0,9.81,10.0,9.76,88.2,2,3,,3,2,69.0,4.3,83.5,81.5,1,High,1,0,25.86,0
63,Female,Pune,Tier3,Civil,Embedded,No,No,6.15,6.48,6.43,5.86,6.4,6.16,6.56,5.9,6.37,54.9,0,1,0.0,0,1,53.2,2.5,28.9,26.2,0,Low,0,0,0.0,1
64,Male,Hyderabad,Tier2,CS,Embedded,Yes,No,8.1,8.59,8.41,8.03,9.0,8.31,8.39,8.3,4.49,51.62642653,1,2,1.0,2,1,35.1,3.8,0.5,54.7,1,High,1,1,18.33,3
65,Male,Jaipur,Tier1,ECE,DataScience,Yes,No,6.51,7.1,6.66,6.72,6.48,7.06,6.69,6.96,6.77,91.9,2,2,3.0,3,1,85.1,4.6,82.8,79.7,1,Mid,1,0,8.37,2
66,Female,Bangalore,Tier1,CS,Networking,No,No,6.9,6.93,7.68,7.05,7.03,7.01,6.58,7.09,6.95,71.6,1,2,1.0,1,1,63.5,4.4,56.6,54.9,1,Mid,1,0,8.85,3
67,Male,Jaipur,Tier1,EE,Embedded,Yes,No,8.05,8.49,8.4,8.51,7.68,8.64,8.1,8.08,8.09,85.3,2,3,3.0,3,2,75.1,5.0,,59.1,1,High,1,0,18.99,0
68,Male,Hyderabad,Tier3,CS,AI,Yes,Yes,4.0,4.21,4.2,4.0,4.0,4.04,4.0,4.0,4.28,61.3,0,1,0.0,0,0,46.8,1.8,30.7,25.4,0,Low,0,0,0.0,1
69,Male,Ahmedabad,Tier1,CS,AI,No,No,7.25,7.53,7.31,7.49,8.06,8.06,7.64,7.84,7.66,84.3,2,4,3.0,4,2,80.8,3.7,100.0,71.3,1,Mid,1,0,12.29,2
70,Female,Ahmedabad,Tier3,IT,DataScience,Yes,Yes,5.84,4.8,4.85,5.88,4.89,5.42,4.58,5.33,5.29,50.0,1,0,1.0,0,0,44.8,,28.9,18.8,0,Low,0,0,0.0,1
71,Male,Mumbai,Tier2,CS,AI,No,Yes,4.25,4.0,4.34,4.42,4.0,4.0,4.11,4.0,4.0,69.7,1,2,2.0,1,0,76.6,2.9,,54.3,1,Low,0,0,0.0,1
72,Female,Mumbai,Tier1,CS,AI,No,No,6.75,6.77,6.7,6.16,7.37,7.19,7.11,7.57,7.14,92.0,3,4,2.0,4,1,79.9,4.5,,67.3,1,Mid,1,0,12.16,2
73,Female,Kolkata,Tier2,Mechanical,DataScience,Yes,No,9.06,9.25,10.0,9.82,9.78,9.69,10.0,9.95,9.82,87.1,2,4,3.0,2,2,100.0,2.7,65.3,70.0,1,High,1,0,18.72,0
